   012151414 3    -0.4479   -0.0097   -0.0015   -0.0004   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012151616 3    -0.0318   -0.0010    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   013131313 3   -81.3480   -0.3172   -0.0202   -0.0036   -0.0009  -80.7818   -0.2934   -0.0165   -0.0027   -0.0006
   013131314 3     0.6711    0.0152    0.0022    0.0005    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   013131315 3    -0.7280   -0.0182   -0.0024   -0.0005   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   013131414 3     0.2747    0.0143    0.0023    0.0006    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000
   013131616 3     0.1625    0.0070    0.0008    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   013141314 3   -80.4581   -0.3229   -0.0207   -0.0036   -0.0009  -79.8834   -0.3057   -0.0181   -0.0030   -0.0007
   013141315 3     0.5924    0.0169    0.0023    0.0005    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000
   013141414 3     0.6652    0.0102    0.0013    0.0003    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   013141616 3    -0.1339   -0.0018   -0.0003    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   013151315 3   -82.6334   -0.3979   -0.0322   -0.0065   -0.0017  -80.8278   -0.3394   -0.0232   -0.0042   -0.0010
   013151414 3     0.0245   -0.0036   -0.0005   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   013151616 3     0.2150    0.0052    0.0005    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   014141414 3   -80.1370   -0.3533   -0.0250   -0.0046   -0.0011  -78.9849   -0.3180   -0.0197   -0.0033   -0.0007
   014141616 3    -0.0659   -0.0004    0.0001    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   016161616 3   -65.0134   -0.2555   -0.0141    0.0107    0.0117  -64.4819   -0.1969   -0.0021    0.0007    0.0003
   012131213 4   -80.9492   -0.2070   -0.0024    0.0007    0.0003  -80.3161   -0.2030   -0.0022    0.0007    0.0003
   012131214 4    -0.0681   -0.0086   -0.0014   -0.0003   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012131215 4    -0.4997   -0.0069   -0.0006   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012131314 4    -0.2725   -0.0096   -0.0016   -0.0004   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012141214 4   -79.5472   -0.2238   -0.0055    0.0000    0.0001  -79.4177   -0.2154   -0.0038    0.0004    0.0003
   012141215 4     0.1554    0.0101    0.0014    0.0003    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012141314 4     0.1924    0.0064    0.0007    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012151215 4   -80.6586   -0.2568   -0.0103   -0.0012   -0.0002  -80.3621   -0.2491   -0.0090   -0.0008   -0.0001
   012151314 4    -0.4446   -0.0138   -0.0019   -0.0004   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   013141314 4   -81.3664   -0.3243   -0.0208   -0.0037   -0.0009  -79.8834   -0.3057   -0.0181   -0.0030   -0.0007
   012121212 5   -80.2881   -0.1241    0.0104    0.0038    0.0012  -79.8504   -0.1127    0.0120    0.0042    0.0013
   012121213 5    -0.1814    0.0048    0.0009    0.0002    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012121214 5    -0.4758   -0.0093   -0.0010   -0.0002   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012121313 5    -0.0486    0.0109    0.0017    0.0004    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012121616 5    -0.2285   -0.0021   -0.0003    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012131213 5   -80.5660   -0.2130   -0.0041    0.0002    0.0002  -80.3161   -0.2030   -0.0022    0.0007    0.0003
   012131214 5    -0.7142   -0.0122   -0.0015   -0.0003   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012131313 5    -0.2601   -0.0120   -0.0017   -0.0004   -0.0001    0.0000    0.0000    0.0000    0.0000    0.0000
   012131616 5     0.1083   -0.0003    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
   012141214 5   -80.8922   -0.2419   -0.0075   -0.0005    0.0000  -79.4177   -0.2154   -0.0038    0.0004    0.0003
