  1.1000  0.4406  0.2658  0.0000  0.0000  0.2658  0.1279  0.0000
  1.1100  0.4413  0.2682  0.0000  0.0000  0.2682  0.1323  0.0000
  1.1200  0.4422  0.2705  0.0000  0.0000  0.2706  0.1367  0.0000
  1.1300  0.4430  0.2729  0.0000  0.0000  0.2730  0.1412  0.0000
  1.1400  0.4437  0.2754  0.0000  0.0000  0.2754  0.1456  0.0000
  1.1500  0.4444  0.2778  0.0000  0.0000  0.2778  0.1499  0.0000
  1.1600  0.4451  0.2803  0.0000  0.0000  0.2803  0.1543  0.0000
  1.1700  0.4456  0.2828  0.0000  0.0000  0.2829  0.1587  0.0000
  1.1800  0.4460  0.2854 -0.0001  0.0000  0.2855  0.1631  0.0000
  1.1900  0.4463  0.2880 -0.0001  0.0000  0.2881  0.1676  0.0000
  1.2000  0.4465  0.2907 -0.0001  0.0000  0.2908  0.1720  0.0000
  1.2100  0.4465  0.2934 -0.0001  0.0000  0.2935  0.1765  0.0000
  1.2200  0.4464  0.2961 -0.0001  0.0000  0.2962  0.1812  0.0000
