   .10000000     .00000000
   .15858000  -35.06900000  -34.63000000
   .16849000  -35.04700000  -34.55200000
   .17841000  -35.02500000  -34.47000000
   .18832000  -35.00200000  -34.38300000
   .19823000  -34.97900000  -34.29300000
   .20814000  -34.95400000  -34.19800000
   .21805000  -34.92900000  -34.09900000
   .22796000  -34.90300000  -33.99600000
   .23787000  -34.87600000  -33.88900000
   .24778000  -34.84900000  -33.77700000
   .25770000  -34.82000000  -33.66100000
   .26761000  -34.79100000  -33.54100000
   .27752000  -34.76000000  -33.41600000
   .28743000  -34.72900000  -33.28700000
   .29734000  -34.69600000  -33.15300000
   .30725000  -34.66300000  -33.01500000
   .31716000  -34.62800000  -32.87200000
   .32708000  -34.59200000  -32.72500000
   .33699000  -34.55500000  -32.57300000
   .34690000  -34.51600000  -32.41600000
   .35681000  -34.47700000  -32.25500000
   .36672000  -34.43600000  -32.08900000
   .37663000  -34.39300000  -31.91800000
   .38654000  -34.34900000  -31.74200000
   .39646000  -34.30400000  -31.56200000
   .40637000  -34.25800000  -31.37600000
   .41628000  -34.21000000  -31.18600000
   .42619000  -34.16000000  -30.99000000
   .43610000  -34.10900000  -30.79000000
   .44601000  -34.05600000  -30.58500000
   .45592000  -34.00100000  -30.37400000
   .46584000  -33.94500000  -30.15900000
   .47575000  -33.88800000  -29.93800000
   .48566000  -33.82800000  -29.71200000
   .49557000  -33.76800000  -29.48200000
   .50548000  -33.70500000  -29.24600000
   .51539000  -33.64100000  -29.00600000
   .52530000  -33.57600000  -28.76100000
   .53522000  -33.50900000  -28.51000000
   .54513000  -33.44100000  -28.25500000
   .55504000  -33.37100000  -27.99500000
   .56495000  -33.30000000  -27.73000000
   .57486000  -33.22700000  -27.46000000
   .58477000  -33.15300000  -27.18600000
   .59468000  -33.07800000  -26.90600000
   .60460000  -33.00100000  -26.62200000
   .61451000  -32.92300000  -26.33300000
   .62442000  -32.84300000  -26.03900000
   .63433000  -32.76300000  -25.74100000
   .64424000  -32.68000000  -25.43800000
   .65415000  -32.59700000  -25.13000000
   .66406000  -32.51300000  -24.81700000
   .67397000  -32.42700000  -24.50000000
   .68389000  -32.34000000  -24.17800000
   .69380000  -32.25100000  -23.85200000
   .70371000  -32.16200000  -23.52000000
   .71362000  -32.07100000  -23.18500000
   .72353000  -31.98000000  -22.84400000
   .73344000  -31.88700000  -22.50000000
   .74335000  -31.79300000  -22.15000000
   .75327000  -31.69800000  -21.79600000
   .76318000  -31.60100000  -21.43800000
   .77309000  -31.50400000  -21.07500000
   .78300000  -31.40600000  -20.70700000
   .79291000  -31.30700000  -20.33500000
   .80282000  -31.20600000  -19.95900000
   .81273000  -31.10500000  -19.57800000
   .82265000  -31.00300000  -19.19300000
   .83256000  -30.89900000  -18.80400000
   .84247000  -30.79500000  -18.41000000
   .85238000  -30.69000000  -18.01200000
   .86229000  -30.58400000  -17.60900000
   .87220000  -30.47700000  -17.20200000
   .88211000  -30.37000000  -16.79100000
   .89203000  -30.26100000  -16.37600000
   .90194000  -30.15200000  -15.95600000
   .91185000  -30.04100000  -15.53200000
   .92176000  -29.93000000  -15.10400000
   .93167000  -29.81800000  -14.67100000
   .94158000  -29.70600000  -14.23500000
   .95149000  -29.59200000  -13.79400000
   .96141000  -29.47800000  -13.34800000
   .97132000  -29.36200000  -12.89900000
   .98123000  -29.24600000  -12.44500000
   .99114000  -29.12900000  -11.98700000
  1.00110000  -29.01200000  -11.52500000
  1.01100000  -28.89300000  -11.05800000
  1.02090000  -28.77400000  -10.58700000
  1.03080000  -28.65400000  -10.11200000
  1.04070000  -28.53300000   -9.63300000
  1.05060000  -28.41100000   -9.14950000
  1.06050000  -28.28800000   -8.66170000
  1.07040000  -28.16400000   -8.16960000
  1.08030000  -28.04000000   -7.67330000
  1.09030000  -27.91500000   -7.17270000
  1.10020000  -27.78900000   -6.66790000
  1.11010000  -27.66200000   -6.15890000
  1.12000000  -27.53500000   -5.64560000
  1.12990000  -27.40600000   -5.12800000
  1.13980000  -27.27700000   -4.60620000
  1.14970000  -27.14700000   -4.08020000
  1.15960000  -27.01600000   -3.54990000
  1.16950000  -26.88400000   -3.01540000
  1.17950000  -26.75200000   -2.47670000
  1.18940000  -26.61900000   -1.93370000
  1.19930000  -26.48500000   -1.38640000
  1.20920000  -26.35000000    -.83497000
  1.21910000  -26.21400000    -.27926000
  1.22900000  -26.07700000     .28067000
  1.23890000  -25.94000000     .84485000
  1.24880000  -25.80200000    1.41330000
  1.25870000  -25.66300000    1.98590000
  1.26870000  -25.52300000    2.56280000
  1.27860000  -25.38300000    3.14390000
  1.28850000  -25.24100000    3.72920000
  1.29840000  -25.09900000    4.31870000
  1.30830000  -24.95600000    4.91250000
  1.31820000  -24.81300000    5.51050000
  1.32810000  -24.66800000    6.11280000
  1.33800000  -24.52300000    6.71920000
  1.34790000  -24.37700000    7.32990000
  1.35790000  -24.23000000    7.94480000
  1.36780000  -24.08200000    8.56380000
  1.37770000  -23.93400000    9.18700000
  1.38760000  -23.78500000    9.81430000
  1.39750000  -23.63500000   10.44600000
  1.40740000  -23.48500000   11.08100000
  1.41730000  -23.33300000   11.72100000
  1.42720000  -23.18200000   12.36500000
  1.43720000  -23.02900000   13.01300000
  1.44710000  -22.87600000   13.66400000
  1.45700000  -22.72300000   14.32000000
  1.46690000  -22.56900000   14.98000000
  1.47680000  -22.41400000   15.64400000
  1.48670000  -22.25900000   16.31200000
  1.49660000  -22.10300000   16.98300000
  1.50650000  -21.94700000   17.65900000
  1.51640000  -21.79000000   18.33800000
  1.52640000  -21.63300000   19.02200000
  1.53630000  -21.47500000   19.70900000
  1.54620000  -21.31700000   20.40000000
  1.55610000  -21.15900000   21.09500000
  1.56600000  -21.00000000   21.79400000
  1.57590000  -20.84100000   22.49700000
  1.58580000  -20.68100000   23.20300000
  1.59570000  -20.52200000   23.91300000
  1.60560000  -20.36100000   24.62700000
  1.61560000  -20.20100000   25.34500000
  1.62550000  -20.04000000   26.06600000
  1.63540000  -19.87900000   26.79100000
  1.64530000  -19.71800000   27.52000000
  1.65520000  -19.55600000   28.25200000
  1.66510000  -19.39400000   28.98800000
  1.67500000  -19.23200000   29.72800000
  1.68490000  -19.07000000   30.47100000
  1.69480000  -18.90800000   31.21800000
  1.70480000  -18.74500000   31.96900000
  1.71470000  -18.58300000   32.72300000
  1.72460000  -18.42000000   33.48000000
  1.73450000  -18.25700000   34.24100000
  1.74440000  -18.09500000   35.00600000
  1.75430000  -17.93200000   35.77400000
  1.76420000  -17.76900000   36.54500000
  1.77410000  -17.60600000   37.32000000
   .30000000     .00000000
   .00000000  -38.25400000  -38.25400000
   .01109400  -38.22600000  -38.22400000
   .02218800  -38.19900000  -38.19000000
   .03328300  -38.17200000  -38.15200000
   .04437700  -38.14400000  -38.11000000
   .05547100  -38.11600000  -38.06300000
   .06656500  -38.08800000  -38.01100000
   .07765900  -38.06000000  -37.95500000
   .08875400  -38.03100000  -37.89400000
   .09984800  -38.00200000  -37.82800000
   .11094000  -37.97200000  -37.75700000
   .12204000  -37.94200000  -37.68200000
   .13313000  -37.91100000  -37.60200000
   .14422000  -37.88000000  -37.51700000
   .15532000  -37.84700000  -37.42600000
   .16641000  -37.81400000  -37.33100000
   .17751000  -37.78000000  -37.23100000
   .18860000  -37.74600000  -37.12500000
   .19970000  -37.71000000  -37.01400000
   .21079000  -37.67300000  -36.89800000
   .22188000  -37.63500000  -36.77600000
   .23298000  -37.59700000  -36.64900000
   .24407000  -37.55600000  -36.51700000
   .25517000  -37.51500000  -36.37900000
   .26626000  -37.47300000  -36.23600000
   .27735000  -37.42900000  -36.08600000
   .28845000  -37.38400000  -35.93200000
   .29954000  -37.33700000  -35.77100000
   .31064000  -37.28900000  -35.60500000
   .32173000  -37.23900000  -35.43300000
   .33283000  -37.18700000  -35.25400000
   .34392000  -37.13400000  -35.07000000
   .35501000  -37.08000000  -34.88000000
   .36611000  -37.02300000  -34.68400000
   .37720000  -36.96500000  -34.48200000
   .38830000  -36.90500000  -34.27300000
   .39939000  -36.84200000  -34.05900000
   .41049000  -36.77800000  -33.83800000
   .42158000  -36.71200000  -33.61000000
   .43267000  -36.64300000  -33.37700000
   .44377000  -36.57300000  -33.13600000
   .45486000  -36.50000000  -32.89000000
   .46596000  -36.42500000  -32.63600000
   .47705000  -36.34800000  -32.37700000
   .48814000  -36.26800000  -32.11000000
   .49924000  -36.18600000  -31.83700000
   .51033000  -36.10100000  -31.55600000
   .52143000  -36.01400000  -31.27000000
   .53252000  -35.92400000  -30.97600000
   .54362000  -35.83200000  -30.67500000
   .55471000  -35.73800000  -30.36800000
   .56580000  -35.64100000  -30.05500000
   .57690000  -35.54200000  -29.73400000
   .58799000  -35.44000000  -29.40700000
   .59909000  -35.33600000  -29.07300000
   .61018000  -35.22900000  -28.73200000
   .62127000  -35.12100000  -28.38500000
