   .10000000    1.42050000
   .19823000  -63.26100000  -62.44700000
   .20814000  -63.23300000  -62.33500000
   .21805000  -63.20400000  -62.21800000
   .22796000  -63.17300000  -62.09700000
   .23787000  -63.14200000  -61.97000000
   .24778000  -63.11000000  -61.83800000
   .25770000  -63.07700000  -61.70100000
   .26761000  -63.04400000  -61.56000000
   .27752000  -63.00800000  -61.41300000
   .28743000  -62.97200000  -61.26100000
   .29734000  -62.93500000  -61.10300000
   .30725000  -62.89700000  -60.94100000
   .31716000  -62.85700000  -60.77300000
   .32708000  -62.81600000  -60.60000000
   .33699000  -62.77400000  -60.42100000
   .34690000  -62.73100000  -60.23700000
   .35681000  -62.68600000  -60.04800000
   .36672000  -62.64000000  -59.85300000
   .37663000  -62.59300000  -59.65300000
   .38654000  -62.54300000  -59.44700000
   .39646000  -62.49300000  -59.23600000
   .40637000  -62.44100000  -59.01900000
   .41628000  -62.38700000  -58.79600000
   .42619000  -62.33200000  -58.56800000
   .43610000  -62.27500000  -58.33400000
   .44601000  -62.21600000  -58.09400000
   .45592000  -62.15600000  -57.84800000
   .46584000  -62.09400000  -57.59700000
   .47575000  -62.03000000  -57.34000000
   .48566000  -61.96400000  -57.07700000
   .49557000  -61.89700000  -56.80900000
   .50548000  -61.82900000  -56.53400000
   .51539000  -61.75900000  -56.25500000
   .52530000  -61.68700000  -55.96900000
   .53522000  -61.61400000  -55.67800000
   .54513000  -61.53900000  -55.38200000
   .55504000  -61.46300000  -55.08000000
   .56495000  -61.38600000  -54.77200000
   .57486000  -61.30700000  -54.45900000
   .58477000  -61.22700000  -54.14100000
   .59468000  -61.14500000  -53.81700000
   .60460000  -61.06200000  -53.48800000
   .61451000  -60.97800000  -53.15300000
   .62442000  -60.89300000  -52.81300000
   .63433000  -60.80600000  -52.46800000
   .64424000  -60.71800000  -52.11800000
   .65415000  -60.62900000  -51.76200000
   .66406000  -60.53900000  -51.40200000
   .67397000  -60.44800000  -51.03600000
   .68389000  -60.35600000  -50.66500000
   .69380000  -60.26300000  -50.28800000
   .70371000  -60.16800000  -49.90700000
   .71362000  -60.07300000  -49.52100000
   .72353000  -59.97700000  -49.12900000
   .73344000  -59.88000000  -48.73300000
   .74335000  -59.78200000  -48.33200000
   .75327000  -59.68300000  -47.92500000
   .76318000  -59.58300000  -47.51400000
   .77309000  -59.48300000  -47.09800000
   .78300000  -59.38100000  -46.67700000
   .79291000  -59.27900000  -46.25100000
   .80282000  -59.17600000  -45.82100000
   .81273000  -59.07300000  -45.38600000
   .82265000  -58.96800000  -44.94500000
   .83256000  -58.86400000  -44.50100000
   .84247000  -58.75800000  -44.05100000
   .85238000  -58.65200000  -43.59700000
   .86229000  -58.54500000  -43.13800000
   .87220000  -58.43800000  -42.67500000
   .88211000  -58.33100000  -42.20700000
   .89203000  -58.22300000  -41.73400000
   .90194000  -58.11400000  -41.25700000
   .91185000  -58.00500000  -40.77600000
   .92176000  -57.89500000  -40.29000000
   .93167000  -57.78500000  -39.79900000
   .94158000  -57.67500000  -39.30400000
   .95149000  -57.56400000  -38.80400000
   .96141000  -57.45200000  -38.29900000
   .97132000  -57.34000000  -37.79000000
   .98123000  -57.22700000  -37.27600000
   .99114000  -57.11400000  -36.75800000
